v_m_s    t_min    y
115.266  14.258   2.51840
88.417   43.693   1.88692
53.424   22.067   1.76480
94.469   37.938   2.60375
43.783   38.012   2.45122
140.025  32.146   1.28144
68.466   5.417    2.27662
112.877  50.118   2.42051
74.288   19.247   2.19919
97.207   11.191   1.70704
100.138  2.447    2.61276
60.334   35.454   1.87587
146.654  40.654   1.85911
125.265  0.995    2.24567
143.345  30.726   1.51168
138.431  13.590   1.93995
105.769  38.710   2.42139
141.406  10.462   1.45434
49.734   41.456   2.21294
61.558   23.204   2.04148
44.975   56.204   1.75166
75.786   8.251    1.69846
82.755   20.464   2.00159
69.848   6.808    2.09032
131.161  55.482   1.26750
79.243   52.640   2.50211
70.903   15.476   2.55504
99.697   39.599   2.63215
55.502   49.033   2.32545
128.242  33.312   1.40099
48.201   31.779   1.86878
148.558  14.511   2.13568
124.947  5.586    1.84702
61.859   53.833   2.19709
40.607   54.025   2.07598
129.701  37.986   2.15207
117.754  20.342   1.75342
120.191  20.953   1.54090
124.840  43.557   1.41652
48.145   53.827   2.32007
79.431   53.225   2.61759
52.746   46.793   2.04053
134.941  38.522   2.03412
108.563  5.048    2.19897
76.399   9.698    1.92320
46.991   53.913   2.10067
74.208   36.386   2.33841
75.770   0.552    2.41372
120.257  6.088    1.80950
110.131  39.810   2.43295
137.593  0.304    1.42955
91.944   9.648    1.59526
53.155   32.924   1.70362
118.457  41.514   1.92221
123.686  39.118   2.55242
101.740  13.456   2.22848
124.806  42.731   1.67497
94.318   14.235   2.56125
97.501   19.524   1.96522
87.030   44.789   1.54311
42.796   38.978   2.73827
51.868   50.953   2.63138
43.457   39.457   2.47093
110.005  34.099   1.70882
74.579   5.620    2.30709
95.943   22.063   1.66875
139.832  15.912   2.12623
67.422   14.639   2.59571
85.142   58.381   1.84545
123.111  23.586   1.89591
65.168   53.523   2.50139
48.468   37.868   2.39494
71.873   47.689   2.38050
57.734   30.158   1.92133
142.267  34.614   1.36879
128.893  29.551   2.02691
109.674  11.715   2.00025
135.861  43.347   1.40264
128.404  16.846   2.08758
60.523   1.459    2.44873
138.181  38.728   2.11444
99.328   10.627   1.90953
128.818  56.428   1.46525
138.570  57.236   1.20497
74.980   54.892   2.09915
52.106   22.210   1.85506
65.073   0.927    2.50734
86.982   55.699   1.88883
129.982  25.691   2.08811
134.680  57.999   1.32666
40.765   57.817   1.81986
96.182   51.181   2.64283
85.915   17.667   2.24223
64.432   23.106   2.01057
53.185   51.068   2.78668
77.138   19.015   1.89102
143.720  10.170   1.36307
75.552   33.408   1.72886
97.067   56.169   1.68260
117.332  41.762   2.15681
79.999   34.204   1.91950
146.896  5.831    1.75818
145.869  36.900   1.99647
67.696   59.403   2.06409
94.697   8.405    1.78278
73.097   31.100   1.91400
71.332   52.642   2.53055
44.058   44.446   1.70717
107.052  41.821   2.10698
95.295   42.149   2.16258
45.663   21.569   1.63196
70.651   17.616   2.53964
139.909  48.562   1.72692
66.352   48.607   2.19487
55.938   52.024   2.71543
93.840   54.794   2.04671
148.422  30.681   1.51637
66.626   30.091   2.25397
113.935  47.898   1.97335
123.778  38.998   2.24877
