Aircraft_ID;Model;Cruise_Speed_kmh;Max_Altitude_ft;Hourly_Fuel_Consumption_l;Max_Range_km
AC_00001;B787;811.28;35835.0;1969.22;4510.0
AC_00002;Cessna172;830.68;34348.0;2568.88;4904.0
AC_00003;A350;969.6;37838.0;2552.32;3798.0
AC_00004;Cessna172;811.63;36064.0;2681.47;4403.0
AC_00005;Cessna172;846.11;35249.0;3291.08;4033.0
AC_00006;B737;827.19;35790.0;2339.03;5351.0
AC_00007;A350;798.02;34236.0;2304.21;4360.0
AC_00008;A350;871.05;32521.0;2640.72;4085.0
AC_00009;A350;851.82;36922.0;3047.67;4638.0
AC_00010;Cessna172;895.55;34858.0;2701.31;5527.0
AC_00011;B787;890.53;31482.0;2397.21;4984.0
AC_00012;A350;895.04;36015.0;2795.46;5772.0
AC_00013;Cessna172;804.09;35082.0;3038.16;5664.0
AC_00014;B737;882.05;38400.0;2269.36;4475.0
AC_00015;B787;883.26;35537.0;2199.79;5094.0
AC_00016;B737;798.95;32638.0;2516.76;5768.0
AC_00017;B787;834.07;31420.0;2590.34;4662.0
AC_00018;Cessna172;777.19;37529.0;2915.22;5168.0
AC_00019;A320;883.48;34873.0;2359.37;4369.0
AC_00020;B787;883.25;33268.0;2620.56;4842.0
AC_00021;B737;921.52;33561.0;2967.07;4819.0
AC_00022;Cessna172;838.56;37597.0;2567.19;5439.0
AC_00023;B787;872.57;35944.0;2381.43;4732.0
AC_00024;A320;899.39;37194.0;2671.06;5151.0
AC_00025;A320;812.31;35490.0;2400.89;5267.0
AC_00026;A350;804.7;33327.0;2601.29;4448.0
AC_00027;A350;813.86;38573.0;2444.08;4718.0
AC_00028;B737;832.54;34218.0;2456.7;5324.0
AC_00029;B787;806.47;36609.0;2379.15;6287.0
AC_00030;B787;816.01;37168.0;2327.89;4120.0
AC_00031;A350;894.05;35013.0;2798.2;5368.0
AC_00032;B787;845.18;32774.0;2556.99;5850.0
AC_00033;B787;865.33;33644.0;2882.14;5067.0
AC_00034;A320;822.46;36354.0;1824.88;4368.0
AC_00035;A350;819.18;36068.0;2344.06;4963.0
AC_00036;Cessna172;864.28;37601.0;2277.79;4323.0
AC_00037;A350;856.3;37279.0;2423.82;4648.0
AC_00038;Cessna172;888.9;33094.0;2190.4;5270.0
AC_00039;A320;915.08;37887.0;2017.82;4958.0
AC_00040;B737;815.43;32948.0;2701.68;5137.0
AC_00041;B787;893.06;36190.0;2322.04;4182.0
AC_00042;A320;796.01;39843.0;2666.7;4572.0
AC_00043;B787;953.69;35625.0;2146.51;5429.0
AC_00044;B737;810.68;31442.0;2009.2;3828.0
AC_00045;B737;884.53;34348.0;2572.37;4072.0
AC_00046;A320;795.64;39350.0;2689.81;4786.0
AC_00047;B737;842.4;34586.0;2315.33;4638.0
AC_00048;Cessna172;927.29;37654.0;2194.88;5539.0
AC_00049;B737;809.11;33087.0;2874.78;3324.0
AC_00050;B787;960.21;34289.0;2482.83;4942.0
AC_00051;B787;849.74;34569.0;2200.56;5960.0
AC_00052;B787;898.79;38902.0;2050.87;5229.0
AC_00053;B787;870.15;34388.0;2293.47;3926.0
AC_00054;Cessna172;872.85;31229.0;2381.7;6699.0
AC_00055;A350;778.69;39764.0;2728.86;4617.0
AC_00056;A320;826.36;35455.0;2494.99;3296.0
AC_00057;B787;909.8;36309.0;2459.35;5568.0
AC_00058;B737;832.78;31786.0;2225.39;4434.0
AC_00059;B787;856.94;35516.0;2914.24;6310.0
AC_00060;B737;772.63;35038.0;2792.95;5505.0
